pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaKGBHm	OZ251424.1	390001	420000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	390001	420000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	390001	420000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	390001	420000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	420001	450000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	420001	450000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	420001	450000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	420001	450000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	450001	480000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	450001	480000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	450001	480000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	450001	480000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	480001	510000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	480001	510000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	480001	510000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	480001	510000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	510001	540000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	510001	540000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	510001	540000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	510001	540000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	540001	570000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	540001	570000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	540001	570000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	540001	570000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	570001	600000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	570001	600000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	570001	600000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	570001	600000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	600001	630000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	600001	630000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	600001	630000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	600001	630000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	630001	660000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	630001	660000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	630001	660000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	630001	660000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	660001	690000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	660001	690000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	660001	690000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	660001	690000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	690001	720000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	690001	720000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	690001	720000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	690001	720000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	720001	750000	0.0	2	0	2	0
PflaHELAf	OZ251424.1	720001	750000	0.0	2	0	2	0
PflaHELEm	OZ251424.1	720001	750000	0.0	2	0	2	0
PflaKGBHm	OZ251424.1	720001	750000	0.0	2	0	2	0
PflaKGBHm	OZ251424.1	750001	780000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	750001	780000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	750001	780000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	750001	780000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	780001	810000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	780001	810000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	780001	810000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	780001	810000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	810001	840000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	810001	840000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	810001	840000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	810001	840000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	840001	870000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	840001	870000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	840001	870000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	840001	870000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	870001	900000	0.0008507742045261	5877	5	5877	0
PflaHELEm	OZ251424.1	870001	900000	0.0042538710226305	5877	25	5877	0
PflaHELAf	OZ251424.1	870001	900000	0.0073166581589246	5877	43	5877	0
PflaKGBDf	OZ251424.1	870001	900000	0.0008507742045261	5877	5	5877	0
PflaHELEm	OZ251424.1	900001	930000	0.0012234385061171	15530	19	15530	0
PflaKGBHm	OZ251424.1	900001	930000	0.0013522215067611	15530	21	15530	0
PflaHELAf	OZ251424.1	900001	930000	0.0006439150032195	15530	10	15530	0
PflaKGBDf	OZ251424.1	900001	930000	0.0008370895041854	15530	13	15530	0
PflaHELAf	OZ251424.1	930001	960000	0.0027931227111911	16111	45	16111	0
PflaKGBDf	OZ251424.1	930001	960000	0.002731053317609	16111	44	16111	0
PflaHELEm	OZ251424.1	930001	960000	0.002606914530445	16111	42	16111	0
PflaKGBHm	OZ251424.1	930001	960000	0.0069517720811867	16111	112	16111	0
PflaHELAf	OZ251424.1	960001	990000	0.0011772534165941	19537	23	19537	0
PflaKGBDf	OZ251424.1	960001	990000	0.0008701438296565	19537	17	19537	0
PflaKGBHm	OZ251424.1	960001	990000	0.0012284383477504	19537	24	19537	0
PflaHELEm	OZ251424.1	960001	990000	0.0014843630035317	19537	29	19537	0
PflaHELAf	OZ251424.1	990001	1020000	0.002764780944279	9404	26	9404	0
PflaKGBDf	OZ251424.1	990001	1020000	0.0029774564015312	9404	28	9404	0
PflaHELEm	OZ251424.1	990001	1020000	0.0029774564015312	9404	28	9404	0
PflaKGBHm	OZ251424.1	990001	1020000	0.0022330923011484	9404	21	9404	0
PflaHELEm	OZ251424.1	1020001	1050000	0.0008301510874979	18069	15	18069	0
PflaKGBDf	OZ251424.1	1020001	1050000	0.0006087774641651	18069	11	18069	0
PflaHELAf	OZ251424.1	1020001	1050000	0.0007194642758315	18069	13	18069	0
PflaKGBHm	OZ251424.1	1020001	1050000	0.0005534340583319	18069	10	18069	0
PflaKGBHm	OZ251424.1	1050001	1080000	0.000600731800557	18311	11	18311	0
PflaHELAf	OZ251424.1	1050001	1080000	0.0004915078368193	18311	9	18311	0
PflaKGBDf	OZ251424.1	1050001	1080000	0.0002730599093441	18311	5	18311	0
PflaHELEm	OZ251424.1	1050001	1080000	0.0004915078368193	18311	9	18311	0
PflaKGBDf	OZ251424.1	1080001	1110000	0.0003428414701042	14584	5	14584	0
PflaKGBHm	OZ251424.1	1080001	1110000	0.0004799780581459	14584	7	14584	0
PflaHELEm	OZ251424.1	1080001	1110000	0.0003428414701042	14584	5	14584	0
PflaHELAf	OZ251424.1	1080001	1110000	0.0003428414701042	14584	5	14584	0
PflaKGBHm	OZ251424.1	1110001	1140000	0.0010648209769732	15026	16	15026	0
PflaHELEm	OZ251424.1	1110001	1140000	0.0023292958871289	15026	35	15026	0
PflaKGBDf	OZ251424.1	1110001	1140000	0.0017968853986423	15026	27	15026	0
PflaHELAf	OZ251424.1	1110001	1140000	0.0018634367097031	15026	28	15026	0
PflaKGBHm	OZ251424.1	1140001	1170000	0.0007797037125892	16673	13	16673	0
PflaHELEm	OZ251424.1	1140001	1170000	0.0006597492952677	16673	11	16673	0
PflaKGBDf	OZ251424.1	1140001	1170000	0.000599772086607	16673	10	16673	0
PflaHELAf	OZ251424.1	1140001	1170000	0.0004798176692856	16673	8	16673	0
PflaKGBDf	OZ251424.1	1170001	1200000	0.0005117231112765	21496	11	21496	0
PflaKGBHm	OZ251424.1	1170001	1200000	0.0003721622627465	21496	8	21496	0
PflaHELEm	OZ251424.1	1170001	1200000	0.0007443245254931	21496	16	21496	0
PflaHELAf	OZ251424.1	1170001	1200000	0.000883885374023	21496	19	21496	0
PflaHELAf	OZ251424.1	1200001	1230000	0.0015731832758516	16527	26	16527	0
PflaKGBDf	OZ251424.1	1200001	1230000	0.0017547044230652	16527	29	16527	0
PflaHELEm	OZ251424.1	1200001	1230000	0.0015126762267804	16527	25	16527	0
PflaKGBHm	OZ251424.1	1200001	1230000	0.0007865916379258	16527	13	16527	0
PflaHELEm	OZ251424.1	1230001	1260000	0.000519557633786	13473	7	13473	0
PflaHELAf	OZ251424.1	1230001	1260000	7.422251911229867e-05	13473	1	13473	0
PflaKGBDf	OZ251424.1	1230001	1260000	0.0001484450382245	13473	2	13473	0
PflaKGBHm	OZ251424.1	1230001	1260000	0.0002968900764491	13473	4	13473	0
PflaKGBHm	OZ251424.1	1260001	1290000	0.00032722513089	12224	4	12224	0
PflaKGBDf	OZ251424.1	1260001	1290000	0.0005726439790575	12224	7	12224	0
PflaHELEm	OZ251424.1	1260001	1290000	0.00032722513089	12224	4	12224	0
PflaHELAf	OZ251424.1	1260001	1290000	0.0002454188481675	12224	3	12224	0
PflaHELEm	OZ251424.1	1290001	1320000	0.0038598211003553	16322	63	16322	0
PflaKGBHm	OZ251424.1	1290001	1320000	0.0045337581178777	16322	74	16322	0
PflaHELAf	OZ251424.1	1290001	1320000	0.0018992770493812	16322	31	16322	0
PflaKGBDf	OZ251424.1	1290001	1320000	0.0029408160764612	16322	48	16322	0
PflaKGBDf	OZ251424.1	1320001	1350000	0.0007888131946934	13945	11	13945	0
PflaKGBHm	OZ251424.1	1320001	1350000	0.0003585514521333	13945	5	13945	0
PflaHELEm	OZ251424.1	1320001	1350000	0.00043026174256	13945	6	13945	0
PflaHELAf	OZ251424.1	1320001	1350000	0.0007171029042667	13945	10	13945	0
PflaKGBHm	OZ251424.1	1350001	1380000	0.0005136399954343	17522	9	17522	0
PflaHELEm	OZ251424.1	1350001	1380000	0.0005707111060381	17522	10	17522	0
PflaKGBDf	OZ251424.1	1350001	1380000	0.0006277822166419	17522	11	17522	0
PflaHELAf	OZ251424.1	1350001	1380000	0.0003994977742266	17522	7	17522	0
PflaKGBHm	OZ251424.1	1380001	1410000	0.0004280036686028	16355	7	16355	0
PflaHELEm	OZ251424.1	1380001	1410000	0.0003057169061449	16355	5	16355	0
PflaHELAf	OZ251424.1	1380001	1410000	0.0001834301436869	16355	3	16355	0
PflaKGBDf	OZ251424.1	1380001	1410000	0.0003057169061449	16355	5	16355	0
PflaHELEm	OZ251424.1	1410001	1440000	0.0001319435281699	15158	2	15158	0
PflaHELAf	OZ251424.1	1410001	1440000	0.0001979152922549	15158	3	15158	0
PflaKGBDf	OZ251424.1	1410001	1440000	0.0001979152922549	15158	3	15158	0
PflaKGBHm	OZ251424.1	1410001	1440000	0.0001319435281699	15158	2	15158	0
PflaHELAf	OZ251424.1	1440001	1470000	0.0004668049792531	19280	9	19280	0
PflaHELEm	OZ251424.1	1440001	1470000	0.0004668049792531	19280	9	19280	0
PflaKGBHm	OZ251424.1	1440001	1470000	0.0004668049792531	19280	9	19280	0
PflaKGBDf	OZ251424.1	1440001	1470000	0.000363070539419	19280	7	19280	0
PflaHELEm	OZ251424.1	1470001	1500000	0.0005193456245131	19255	10	19255	3
PflaHELAf	OZ251424.1	1470001	1500000	0.0003634853048083	19258	7	19258	0
PflaKGBDf	OZ251424.1	1470001	1500000	0.0004166015726709	19203	8	19203	55
PflaKGBHm	OZ251424.1	1470001	1500000	0.001505867691349	19258	29	19258	0
PflaHELAf	OZ251424.1	1500001	1530000	0.0001587133636652	18902	3	18902	0
PflaHELEm	OZ251424.1	1500001	1530000	0.0018516559094275	18902	35	18902	0
PflaKGBHm	OZ251424.1	1500001	1530000	0.0004761400909956	18902	9	18902	0
PflaKGBDf	OZ251424.1	1500001	1530000	0.0016400380912072	18902	31	18902	0
PflaKGBHm	OZ251424.1	1530001	1560000	0.000531519081535	18814	10	18814	0
PflaHELAf	OZ251424.1	1530001	1560000	0.000212607632614	18814	4	18814	0
PflaKGBDf	OZ251424.1	1530001	1560000	0.001275645795684	18814	24	18814	0
PflaHELEm	OZ251424.1	1530001	1560000	0.0019666206016796	18814	37	18814	0
PflaHELAf	OZ251424.1	1560001	1590000	0.0008666762964032	20769	18	20769	0
PflaKGBDf	OZ251424.1	1560001	1590000	0.0037555972844142	20769	78	20769	0
PflaHELEm	OZ251424.1	1560001	1590000	0.0022629881072752	20769	47	20769	0
PflaKGBHm	OZ251424.1	1560001	1590000	0.0011074197120708	20769	23	20769	0
PflaKGBHm	OZ251424.1	1590001	1620000	0.000482606072793	24865	12	24865	0
PflaHELEm	OZ251424.1	1590001	1620000	0.001970641463905	24865	49	24865	0
PflaHELAf	OZ251424.1	1590001	1620000	0.0002815202091292	24865	7	24865	0
PflaKGBDf	OZ251424.1	1590001	1620000	0.0020108586366378	24865	50	24865	0
PflaHELEm	OZ251424.1	1620001	1650000	0.001269228816571	19697	25	19697	0
PflaKGBHm	OZ251424.1	1620001	1650000	0.0009646139005939	19697	19	19697	0
PflaKGBDf	OZ251424.1	1620001	1650000	0.0004061532213027	19697	8	19697	0
PflaHELAf	OZ251424.1	1620001	1650000	0.0002538457633142	19697	5	19697	0
PflaKGBHm	OZ251424.1	1650001	1680000	0.0005380200860832	22304	12	22304	0
PflaHELEm	OZ251424.1	1650001	1680000	0.0012105451936872	22304	27	22304	0
PflaKGBDf	OZ251424.1	1650001	1680000	0.0004035150645624	22304	9	22304	0
PflaHELAf	OZ251424.1	1650001	1680000	0.0001793400286944	22304	4	22304	0
PflaHELEm	OZ251424.1	1680001	1710000	0.0011173184357541	17900	20	17900	0
PflaHELAf	OZ251424.1	1680001	1710000	0.0002793296089385	17900	5	17900	0
PflaKGBHm	OZ251424.1	1680001	1710000	0.000949720670391	17900	17	17900	0
PflaKGBDf	OZ251424.1	1680001	1710000	0.0001675977653631	17900	3	17900	0
PflaHELEm	OZ251424.1	1710001	1740000	0.0027188212594281	22804	62	22804	0
PflaKGBDf	OZ251424.1	1710001	1740000	0.0003069636905805	22804	7	22804	0
PflaHELAf	OZ251424.1	1710001	1740000	0.0020171899666725	22804	46	22804	0
PflaKGBHm	OZ251424.1	1710001	1740000	0.0017979301876863	22804	41	22804	0
PflaKGBDf	OZ251424.1	1740001	1770000	0.0007534578332705	18581	14	18581	0
PflaHELAf	OZ251424.1	1740001	1770000	0.0019374629998385	18581	36	18581	0
PflaHELEm	OZ251424.1	1740001	1770000	0.0039825628330014	18581	74	18581	0
PflaKGBHm	OZ251424.1	1740001	1770000	0.0028616165433831	18521	53	18521	60
PflaKGBHm	OZ251424.1	1770001	1800000	0.0026659830812612	19505	52	19505	0
PflaHELEm	OZ251424.1	1770001	1800000	0.0022558318379902	19505	44	19505	0
PflaKGBDf	OZ251424.1	1770001	1800000	0.0010253781081773	19505	20	19505	0
PflaHELAf	OZ251424.1	1770001	1800000	0.0028197897974878	19505	55	19505	0
PflaHELEm	OZ251424.1	1800001	1830000	0.0037546933667083	11985	45	11985	0
PflaHELAf	OZ251424.1	1800001	1830000	0.0037546933667083	11985	45	11985	0
PflaKGBHm	OZ251424.1	1800001	1830000	0.0016687526074259	11985	20	11985	0
PflaKGBDf	OZ251424.1	1800001	1830000	0.0029203170629954	11985	35	11985	0
PflaKGBHm	OZ251424.1	1830001	1860000	0.0018589743589743	15600	29	15600	0
PflaHELEm	OZ251424.1	1830001	1860000	0.0055128205128205	15600	86	15600	0
PflaKGBDf	OZ251424.1	1830001	1860000	0.003076923076923	15600	48	15600	0
PflaHELAf	OZ251424.1	1830001	1860000	0.0058333333333333	15600	91	15600	0
PflaKGBDf	OZ251424.1	1860001	1890000	0.001410708560436	15595	22	15595	0
PflaKGBHm	OZ251424.1	1860001	1890000	0.0025008015389547	15595	39	15595	0
PflaHELAf	OZ251424.1	1860001	1890000	0.00352677140109	15595	55	15595	0
PflaHELEm	OZ251424.1	1860001	1890000	0.002821417120872	15595	44	15595	0
PflaKGBDf	OZ251424.1	1890001	1920000	0.0021619823715283	12026	26	12026	0
PflaHELAf	OZ251424.1	1890001	1920000	0.0035755862298353	12026	43	12026	0
PflaHELEm	OZ251424.1	1890001	1920000	0.0019125228671212	12026	23	12026	0
PflaKGBHm	OZ251424.1	1890001	1920000	0.0033261267254282	12026	40	12026	0
PflaHELAf	OZ251424.1	1920001	1950000	0.0083903731508059	13587	114	13587	0
PflaKGBDf	OZ251424.1	1920001	1950000	0.0066975785677485	13587	91	13587	0
PflaKGBHm	OZ251424.1	1920001	1950000	0.0083167733863251	13587	113	13587	0
PflaHELEm	OZ251424.1	1920001	1950000	0.0039007875174799	13587	53	13587	0
PflaKGBHm	OZ251424.1	1950001	1980000	0.0035478966041561	11838	42	11838	0
PflaHELEm	OZ251424.1	1950001	1980000	0.0027031593174522	11838	32	11838	0
PflaKGBDf	OZ251424.1	1950001	1980000	0.0032100016894745	11838	38	11838	0
PflaHELAf	OZ251424.1	1950001	1980000	0.0032944754181449	11838	39	11838	0
PflaHELEm	OZ251424.1	1980001	2010000	0.0025007355104442	20394	51	20394	0
PflaKGBHm	OZ251424.1	1980001	2010000	0.0040207904285574	20394	82	20394	0
PflaKGBDf	OZ251424.1	1980001	2010000	0.0038246543100912	20394	78	20394	0
PflaHELAf	OZ251424.1	1980001	2010000	0.0039227223693243	20394	80	20394	0
PflaHELAf	OZ251424.1	2010001	2040000	0.0030086046091822	16619	50	16619	0
PflaKGBDf	OZ251424.1	2010001	2040000	0.0032492929779168	16619	54	16619	0
PflaHELEm	OZ251424.1	2010001	2040000	0.002527227871713	16619	42	16619	0
PflaKGBHm	OZ251424.1	2010001	2040000	0.0029484325169986	16619	49	16619	0
PflaHELAf	OZ251424.1	2040001	2070000	0.0052543704576703	20364	107	20364	0
PflaKGBDf	OZ251424.1	2040001	2070000	0.0041740326065605	20364	85	20364	0
PflaHELEm	OZ251424.1	2040001	2070000	0.0045177764682773	20364	92	20364	0
PflaKGBHm	OZ251424.1	2040001	2070000	0.0038302887448438	20364	78	20364	0
PflaKGBHm	OZ251424.1	2070001	2100000	0.0020860621937612	20613	43	20613	0
PflaHELEm	OZ251424.1	2070001	2100000	0.0025711929364963	20613	53	20613	0
PflaKGBDf	OZ251424.1	2070001	2100000	0.0022316014165817	20613	46	20613	0
PflaHELAf	OZ251424.1	2070001	2100000	0.0022316014165817	20613	46	20613	0
PflaHELAf	OZ251424.1	2100001	2130000	0.0020266357845975	17270	35	17270	0
PflaKGBDf	OZ251424.1	2100001	2130000	0.0023740590619571	17270	41	17270	0
PflaHELEm	OZ251424.1	2100001	2130000	0.0012159814707585	17270	21	17270	0
PflaKGBHm	OZ251424.1	2100001	2130000	0.0022582513028372	17270	39	17270	0
PflaHELAf	OZ251424.1	2130001	2160000	0.0001784439685938	16812	3	16812	0
PflaKGBDf	OZ251424.1	2130001	2160000	0.0005353319057815	16812	9	16812	0
PflaHELEm	OZ251424.1	2130001	2160000	0.0011301451344277	16812	19	16812	0
PflaKGBHm	OZ251424.1	2130001	2160000	0.0008327385201046	16812	14	16812	0
PflaKGBHm	OZ251424.1	2160001	2190000	0.0011604293588627	17235	20	17235	0
PflaHELEm	OZ251424.1	2160001	2190000	0.001276472294749	17235	22	17235	0
PflaHELAf	OZ251424.1	2160001	2190000	0.001682622570351	17235	29	17235	0
PflaKGBDf	OZ251424.1	2160001	2190000	0.0011604293588627	17235	20	17235	0
PflaHELAf	OZ251424.1	2190001	2220000	0.0021578076674099	13903	30	13903	0
PflaKGBDf	OZ251424.1	2190001	2220000	0.0017262461339279	13903	24	13903	0
PflaHELEm	OZ251424.1	2190001	2220000	0.0020858807451629	13903	29	13903	0
PflaKGBHm	OZ251424.1	2190001	2220000	0.0015105740181268	13902	21	13902	1
PflaHELEm	OZ251424.1	2220001	2250000	0.004914421284528	11802	58	11802	0
PflaKGBDf	OZ251424.1	2220001	2250000	0.0021190032208848	11798	25	11798	4
PflaHELAf	OZ251424.1	2220001	2250000	0.0021184645369036	11801	25	11801	1
PflaKGBHm	OZ251424.1	2220001	2250000	0.0	11802	0	11802	0
PflaKGBHm	OZ251424.1	2250001	2280000	0.0034237269713602	18401	63	18401	0
PflaHELEm	OZ251424.1	2250001	2280000	0.003586761589044	18401	66	18401	0
PflaKGBDf	OZ251424.1	2250001	2280000	0.0034780718439215	18401	64	18401	0
PflaHELAf	OZ251424.1	2250001	2280000	0.0014673115591543	18401	27	18401	0
PflaKGBHm	OZ251424.1	2280001	2310000	0.0034595546609636	15898	55	15898	0
PflaKGBDf	OZ251424.1	2280001	2310000	0.0049062775191848	15898	78	15898	0
PflaHELAf	OZ251424.1	2280001	2310000	0.0051578814945276	15898	82	15898	0
PflaHELEm	OZ251424.1	2280001	2310000	0.0057239904390489	15898	91	15898	0
PflaHELEm	OZ251424.1	2310001	2340000	0.0038928177512489	15413	60	15413	2
PflaKGBDf	OZ251424.1	2310001	2340000	0.0036328251702886	15415	56	15415	0
PflaHELAf	OZ251424.1	2310001	2340000	0.0032435939020434	15415	50	15415	0
PflaKGBHm	OZ251424.1	2310001	2340000	0.0018812844631852	15415	29	15415	0
PflaHELAf	OZ251424.1	2340001	2370000	0.0046070082367723	14326	66	14326	0
PflaKGBHm	OZ251424.1	2340001	2370000	0.0035599609102331	14326	51	14326	0
PflaHELEm	OZ251424.1	2340001	2370000	0.0071224076530968	14321	102	14321	5
PflaKGBDf	OZ251424.1	2340001	2370000	0.0043277956163618	14326	62	14326	0
PflaHELEm	OZ251424.1	2370001	2400000	0.0106179515926927	15163	161	15163	0
PflaKGBDf	OZ251424.1	2370001	2400000	0.0068588010288201	15163	104	15163	0
PflaHELAf	OZ251424.1	2370001	2400000	0.0066609509991426	15163	101	15163	0
PflaKGBHm	OZ251424.1	2370001	2400000	0.0117391017608652	15163	178	15163	0
PflaKGBDf	OZ251424.1	2400001	2430000	0.0036183813773971	16582	60	16582	5
PflaHELAf	OZ251424.1	2400001	2430000	0.004280460601676	16587	71	16587	0
PflaHELEm	OZ251424.1	2400001	2430000	0.0070537167661421	16587	117	16587	0
PflaKGBHm	OZ251424.1	2400001	2430000	0.0043407487791644	16587	72	16587	0
PflaKGBHm	OZ251424.1	2430001	2460000	0.0034265502376478	18094	62	18094	0
PflaHELEm	OZ251424.1	2430001	2460000	0.0074057698684646	18094	134	18094	0
PflaHELAf	OZ251424.1	2430001	2460000	0.0063556980214435	18094	115	18094	0
PflaKGBDf	OZ251424.1	2430001	2460000	0.0063094974540624	18068	114	18068	26
PflaHELAf	OZ251424.1	2460001	2490000	0.0054733110925771	19184	105	19184	0
PflaKGBDf	OZ251424.1	2460001	2490000	0.0034924937447873	19184	67	19184	0
PflaHELEm	OZ251424.1	2460001	2490000	0.0057339449541284	19184	110	19184	0
PflaKGBHm	OZ251424.1	2460001	2490000	0.0002606338615512	19184	5	19184	0
PflaKGBDf	OZ251424.1	2490001	2520000	0.0042813070578606	15883	68	15883	0
PflaHELAf	OZ251424.1	2490001	2520000	0.0042813070578606	15883	68	15883	0
PflaKGBHm	OZ251424.1	2490001	2520000	0.0020780856423173	15880	33	15880	3
PflaHELEm	OZ251424.1	2490001	2520000	0.0053516338223257	15883	85	15883	0
PflaKGBDf	OZ251424.1	2520001	2550000	0.002864442207943	12917	37	12917	0
PflaHELAf	OZ251424.1	2520001	2550000	0.0040257025625145	12917	52	12917	0
PflaHELEm	OZ251424.1	2520001	2550000	0.0047224587752574	12917	61	12917	0
